make;model;version;year_manufacture;year_model;km;price;location
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.585km;91590;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;23.604km;94990;Palmas / TO
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;23.626km;86540;Mesquita / RJ
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2020;2021;23.661km;53990;Guarapuava / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.665km;91590;Joinville / SC
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.861km;91590;Rio de Janeiro / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;23.867km;83990;São Luis / MA
Renault;Kwid;1.0 12V SCE FLEX INTENSE MANUAL;2021;2022;23.885km;61990;Betim / MG
Toyota;Corolla;2.0 VVT-IE FLEX ALTIS DIRECT SHIFT;2020;2021;23.917km;165990;Joinville / SC
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;23.994km;94990;Guarapuava / PR
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;23.994km;94990;Pato Branco / PR
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;24.000km;94990;Mesquita / RJ
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;24.031km;111990;Betim / MG
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;24.129km;94990;Osasco / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;24.129km;94990;São Paulo / SP
Peugeot;208;1.6 16V FLEX ALLURE AT6;2021;2022;24.132km;88990;João pessoa / PB
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;24.150km;91590;Maringá / PR
Renault;Duster;1.6 16V SCE FLEX ZEN X-TRONIC;2020;2021;24.255km;97990;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;24.314km;91590;Mesquita / RJ
Bmw;I3;ELÉTRICO eDRIVE BEV FULL AUTOMÁTICO;2020;2021;24.335km;259990;São Paulo / SP
Bmw;I3;ELÉTRICO eDRIVE BEV FULL AUTOMÁTICO;2020;2021;24.335km;259990;São Paulo / SP
